"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"TiWorker","0","171","2203442724864","26279936","19398656","55608",,,,,,,,"Process","8",,,,,,"171","14292",".","0","",,,,,"55608","55608","19398656","19398656","101000","101000","19820544","19820544","26529792","26529792","129548288","2203447771136",,,"19398656","19398656",,"TiWorker",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"124502016","2203442724864","False",,,,"26279936","26279936",,
"TriggerModeMonitor","5","306","4993183744","22433792","35143680","19536",,,,,,,,"Process","8",,,,,,"306","11576",".","0","",,,,,"19536","19536","35143680","35143680","488336","488336","35356672","35356672","33275904","33275904","709062656","5004029952",,,"35143680","35143680",,"TriggerModeMonitor",,"True","5","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"698216448","4993183744","False",,,,"22433792","22433792",,
"TrustedInstaller","0","131","2203389886464","6955008","1863680","8016",,,,,,,,"Process","8",,,,,,"131","8204",".","0","",,,,,"8016","8016","1863680","1863680","70016","70016","2023424","2023424","6995968","6995968","73236480","2203391459328",,,"1863680","1863680",,"TrustedInstaller",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"71663616","2203389886464","False",,,,"6955008","6955008",,
"VideoCardMonitorII","5","414","295923712","34504704","45797376","29456",,,,,,,,"Process","8",,,,,,"414","9896",".","0","",,,,,"29456","29456","45797376","45797376","463624","463624","47357952","47357952","54366208","54366208","303108096","303108096",,,"45797376","45797376",,"VideoCardMonitorII",,"True","5","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"295923712","295923712","False",,,,"34504704","34504704",,
"vmnat","0","178","87568384","3932160","3760128","14336",,,,,,,,"Process","8",,,,,,"178","3204",".","0","",,,,,"14336","14336","3760128","3760128","109416","109416","5378048","5378048","7565312","7565312","96219136","96219136",,,"3760128","3760128",,"vmnat",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"87568384","87568384","False",,,,"3932160","3932160",,
"vmnetdhcp","0","86","67506176","1953792","8007680","8080",,,,,,,,"Process","8",,,,,,"86","3136",".","0","",,,,,"8080","8080","8007680","8007680","54512","54512","8216576","8216576","11743232","11743232","70914048","70914048",,,"8007680","8007680",,"vmnetdhcp",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"67506176","67506176","False",,,,"1953792","1953792",,
"vmware-authd","0","329","127614976","5783552","6844416","17336",,,,,,,,"Process","8",,,,,,"329","4116",".","0","",,,,,"17336","17336","6844416","6844416","176552","176552","7311360","7311360","12795904","12795904","149024768","149024768",,,"6844416","6844416",,"vmware-authd",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"127614976","127614976","False",,,,"5783552","5783552",,
"vmware-hostd","0","456","207634432","16695296","34873344","33480",,,,,,,,"Process","8",,,,,,"456","6812",".","0","",,,,,"33480","33480","34873344","34873344","274288","274288","35176448","35176448","53932032","53932032","214192128","214192128",,,"34873344","34873344",,"vmware-hostd",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"207634432","207634432","False",,,,"16695296","16695296",,
"vmware-tray","5","205","140574720","9814016","6021120","18248","D:\Programs\VmWare\Workstation\vmware-tray.exe","VMware, Inc.","0.0625","15.0.2 build-10952284","15.0.2 build-10952284","VMware Tray Process","VMware Workstation","Process","8",,"False",,"5284","Microsoft.Win32.SafeHandles.SafeProcessHandle","205","8168",".","0","","System.Diagnostics.ProcessModule (vmware-tray.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18248","18248","6021120","6021120","208192","208192","6250496","6250496","11333632","11333632","144506880","144506880","True","Normal","6021120","6021120","00:00:00.0468750","vmware-tray","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 5:13:18 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","140574720","140574720","False",,,,"9814016","9814016",,
"vmware-usbarbitrator64","0","217","4413337600","2490368","2695168","12240",,,,,,,,"Process","8",,,,,,"217","3516",".","0","",,,,,"12240","12240","2695168","2695168","165656","165656","2834432","2834432","10289152","10289152","123613184","4418580480",,,"2695168","2695168",,"vmware-usbarbitrator64",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"118370304","4413337600","False",,,,"2490368","2490368",,
"wallpaper64","5","597","5009416192","44265472","260493312","31960","D:\Programs\Steam\steamapps\common\wallpaper_engine\wallpaper64.exe","","44.96875","1.0.0.0","1.0.0.0","","Wallpaper Engine","Process","8",,"False",,"5784","Microsoft.Win32.SafeHandles.SafeProcessHandle","597","2528",".","0","","System.Diagnostics.ProcessModule (wallpaper64.exe)","69722112","68513792","System.Diagnostics.ProcessModuleCollection","31960","31960","260493312","260493312","415488","415488","854704128","854704128","194854912","194854912","1291644928","5586612224","True","Normal","260493312","260493312","00:00:28.3437500","wallpaper64","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:10:09 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:44.9687500","00:00:16.6250000","714448896","5009416192","False",,,,"44265472","44265472",,
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","5","880","2203863851008","39563264","33628160","32200","C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","Microsoft Corporation","0.203125","10.0.17763.292 (WinBuild.160101.0800)","10.0.17763.292","WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","Microsoft? Windows? Operating System","Process","8",,"False",,"5476","Microsoft.Win32.SafeHandles.SafeProcessHandle","880","1256",".","0","","System.Diagnostics.ProcessModule (WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32200","32200","33628160","33628160","695096","695096","33865728","33865728","57409536","57409536","548773888","2203866996736","True","Normal","33628160","33628160","00:00:00.1093750","WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:33:24 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00.0937500","545628160","2203863851008","False",,,,"39563264","39563264",,
"wininit","0","174","2203388043264","2375680","1740800","11104",,,,,,,,"Process","13",,,,,,"174","640",".","0","",,,,,"11104","11104","1740800","1740800","79016","79016","2297856","2297856","7991296","7991296","82313216","2203400536064",,,"1740800","1740800",,"wininit",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"69820416","2203388043264","False",,,,"2375680","2375680",,
"winlogon","5","274","2203424522240","12095488","3186688","12336",,,,,,,,"Process","13",,,,,,"274","13196",".","0","",,,,,"12336","12336","3186688","3186688","153144","153144","4976640","4976640","30552064","30552064","125104128","2203443326976",,,"3186688","3186688",,"winlogon",,"True","5","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"106299392","2203424522240","False",,,,"12095488","12095488",,
"winpty-agent","5","129","4411387904","6545408","2273280","7816","c:\Users\Felipe\AppData\Local\Programs\Microsoft VS Code\resources\app\node_modules.asar.unpacked\node-pty\build\Release\winpty-agent.exe",,"0.046875",,,,,"Process","8",,"False",,"4260","Microsoft.Win32.SafeHandles.SafeProcessHandle","129","8552",".","0","","System.Diagnostics.ProcessModule (winpty-agent.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7816","7816","2273280","2273280","160112","160112","2314240","2314240","6565888","6565888","118517760","4413485056","True","Normal","2273280","2273280","00:00:00.0156250","winpty-agent","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 7:10:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0312500","116420608","4411387904","False",,,,"6545408","6545408",,
"WinStore.App","5","1076","5396434944","53248","69836800","73344","C:\Program Files\WindowsApps\Microsoft.WindowsStore_11906.1001.24.0_x64__8wekyb3d8bbwe\WinStore.App.exe","Microsoft Corporation","0.984375","11906.1001.24.0","11906.1001.24.0","Store","Windows Store","Process","8",,"False",,"5816","Microsoft.Win32.SafeHandles.SafeProcessHandle","1076","5240",".","131888","Microsoft Store","System.Diagnostics.ProcessModule (WinStore.App.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","73344","73344","69836800","69836800","1128368","1128368","81485824","81485824","134561792","134561792","1113001984","5407969280","True","Normal","69836800","69836800","00:00:00.2656250","WinStore.App","63","False","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:10:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9843750","00:00:00.7187500","1101467648","5396434944","False",,,,"53248","53248",,
"WmiPrvSE","0","217","74919936","4653056","4009984","12864",,,,,,,,"Process","8",,,,,,"217","4556",".","0","",,,,,"12864","12864","4009984","4009984","78488","78488","4792320","4792320","10145792","10145792","77070336","77070336",,,"4009984","4009984",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"74919936","74919936","False",,,,"4653056","4653056",,
"WmiPrvSE","0","209","2203406176256","13594624","6737920","12816",,,,,,,,"Process","8",,,,,,"209","12348",".","0","",,,,,"12816","12816","6737920","6737920","98960","98960","7307264","7307264","15351808","15351808","121561088","2203439783936",,,"6737920","6737920",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"87953408","2203406176256","False",,,,"13594624","13594624",,
"YourPhone","5","472","2203847012352","8249344","28790784","25040","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.19071.866.0_x64__8wekyb3d8bbwe\YourPhone.exe","Microsoft Corporation","0.171875","1.19071.866.00000","1.19071.086600000-19071","YourPhone.exe","Microsoft Your Phone","Process","8",,"False",,"4984","Microsoft.Win32.SafeHandles.SafeProcessHandle","472","2280",".","0","","System.Diagnostics.ProcessModule (YourPhone.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25040","25040","28790784","28790784","566776","566776","29073408","29073408","47652864","47652864","532983808","2203851206656","True","Normal","28790784","28790784","00:00:00.1093750","YourPhone","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:09:58 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0625000","528789504","2203847012352","False",,,,"8249344","8249344",,
